participant_id,avg_safety_distance,height,age,d_l,d_m,d_h,distance_category,velocity_exp1,velocity_exp2
XXX_43,55.84412384033203,157,25,-20.74756622314453,-12.774650573730469,-8.163249969482422,odd,60,70
XXX_40,90.07212829589844,161,26,-21.347766876220703,-24.805700302124023,-32.02899932861328,odd,60,70
XXX_39,54.84615516662598,190,26,-12.373050689697266,-8.33945083618164,-21.067100524902344,odd,60,70
XXX_36,45.403422037760414,187,27,-1.568399429321289,-9.60551643371582,7.461647033691406,pair,60,70
XXX_34,38.564504623413086,173,29,-0.18493270874023438,6.157833099365234,25.50060272216797,pair,60,70
XXX_24,65.44170379638672,176,32,4.725948333740234,1.8885345458984375,41.41051483154297,odd,60,70
XXX_38,51.425917307535805,180,62,-4.062700271606445,-13.669950485229492,-15.430084228515625,pair,60,60
XXX_35,54.15958786010742,178,27,-14.18731689453125,-19.39900016784668,22.774452209472656,odd,60,60
XXX_32,72.29390462239583,173,31,-1.5226325988769531,14.741416931152344,-5.004283905029297,pair,60,60
XXX_28,46.211299896240234,170,29,-8.749699592590332,17.777915954589844,19.042564392089844,pair,60,60
XXX_42,36.595629374186196,169,21,-13.64650821685791,-20.210203170776367,-49.041131019592285,pair,70,70
XXX_37,47.55761464436849,185,26,-2.2610416412353516,-11.505134582519531,-29.07278823852539,odd,70,70
XXX_25,85.65224838256836,166,51,3.4290237426757812,-1.2951278686523438,16.490036010742188,odd,70,70
XXX_41,29.310454686482746,171,24,-16.77851676940918,38.852943420410156,53.71978759765625,odd,70,60
XXX_33,43.06644821166992,176,48,-10.768516540527344,9.070701599121094,5.323554992675781,pair,70,60
XXX_31,66.64207585652669,175,27,-8.918902397155762,-18.025911331176758,-22.72039031982422,pair,70,60
XXX_30,59.98884201049805,167,60,-9.829174995422363,-3.9962196350097656,-4.669551849365234,pair,70,60
XXX_27,50.73694356282552,178,26,-5.842130661010742,-8.238414764404297,-3.7850990295410156,pair,70,60
XXX_26,38.844854990641274,179,34,-3.7717647552490234,-3.129852294921875,25.046302795410156,pair,70,60
